G1-00001:一:無繁體:無異體
G1-00002:乙:無繁體:無異體
G1-00003:二:無繁體:無異體
G1-00004:十:無繁體:無異體
G1-00005:丁:無繁體:無異體
G1-00006:厂:廠:無異體
G1-00007:七:無繁體:無異體
G1-00008:卜:卜:無異體:G1-00008:卜:蔔:無異體
G1-00009:八:無繁體:無異體
G1-00010:人:無繁體:無異體
G1-00011:入:無繁體:無異體
G1-00012:儿:兒:無異體
G1-00013:匕:無繁體:無異體
G1-00014:几:几:無異體:G1-00014:几:幾:無異體
G1-00015:九:無繁體:無異體
G1-00016:刁:無繁體:無異體
G1-00017:了:了:無異體:G1-00017:了:瞭:無異體
G1-00018:刀:無繁體:無異體
G1-00019:力:無繁體:無異體
G1-00020:乃:無繁體:廼迺
G1-00021:又:無繁體:無異體
G1-00022:三:無繁體:無異體
G1-00023:干:干:無異體:G1-00023:干:乾:乹亁:G1-00023:干:幹:榦
G1-00024:于:無繁體:無異體
G1-00025:亏:虧:無異體
G1-00026:工:無繁體:無異體
G1-00027:土:無繁體:無異體
G1-00028:士:無繁體:無異體
G1-00029:才:才:無異體:G1-00029:才:纔:無異體
G1-00030:下:無繁體:無異體
G1-00031:寸:無繁體:無異體
G1-00032:大:無繁體:無異體
G1-00033:丈:無繁體:無異體
G1-00034:与:與:無異體
G1-00035:万:万:無異體:G1-00035:万:萬:無異體
G1-00036:上:無繁體:無異體
G1-00037:小:無繁體:無異體
G1-00038:口:無繁體:無異體
G1-00039:山:無繁體:無異體
G1-00040:巾:無繁體:無異體
G1-00041:千:千:無異體:G1-00041:千:韆:無異體
G1-00042:乞:無繁體:無異體
G1-00043:川:無繁體:無異體
G1-00044:亿:億:無異體
G1-00045:个:個:箇
G1-00046:夕:無繁體:無異體
G1-00047:久:無繁體:無異體
G1-00048:么:麽:無異體
G1-00049:勺:無繁體:無異體
G1-00050:凡:無繁體:凢
G1-00051:丸:無繁體:無異體
G1-00052:及:無繁體:無異體
G1-00053:广:廣:無異體
G1-00054:亡:無繁體:亾
G1-00055:门:門:無異體
G1-00056:丫:無繁體:枒椏
G1-00057:义:義:無異體
G1-00058:之:無繁體:無異體
G1-00059:尸:無繁體:屍
G1-00060:己:無繁體:無異體
G1-00061:已:無繁體:無異體
G1-00062:巳:無繁體:無異體
G1-00063:弓:無繁體:無異體
G1-00064:子:無繁體:無異體
G1-00065:卫:衛:無異體
G1-00066:也:無繁體:無異體
G1-00067:女:無繁體:無異體
G1-00068:刃:無繁體:無異體
G1-00069:飞:飛:無異體
G1-00070:习:習:無異體
G1-00071:叉:無繁體:無異體
G1-00072:马:馬:無異體
G1-00073:乡:鄉:無異體
G1-00074:丰:丰:無異體:G1-00074:丰:豐:無異體
G1-00075:王:無繁體:無異體
G1-00076:开:開:無異體
G1-00077:井:無繁體:無異體
G1-00078:天:無繁體:無異體
G1-00079:夫:無繁體:無異體
G1-00080:元:無繁體:無異體
G1-00081:无:無:無異體
G1-00082:云:云:無異體:G1-00082:云:雲:無異體
G1-00083:专:專:耑
G1-00084:丐:無繁體:匃匄
G1-00085:扎:無繁體:紥紮
G1-00086:艺:藝:無異體
G1-00087:木:無繁體:無異體
G1-00088:五:無繁體:無異體
G1-00089:支:無繁體:無異體
G1-00090:厅:廳:無異體
G1-00091:不:無繁體:無異體
G1-00092:犬:無繁體:無異體
G1-00093:太:無繁體:無異體
G1-00094:区:區:無異體
G1-00095:历:歷:歴𠪱:G1-00095:历:曆:厤
G1-00096:歹:無繁體:無異體
G1-00097:友:無繁體:無異體
G1-00098:尤:無繁體:無異體
G1-00099:匹:無繁體:疋
G1-00100:车:車:無異體
G1-00101:巨:無繁體:鉅
G1-00102:牙:無繁體:無異體
G1-00103:屯:無繁體:無異體
G1-00104:戈:無繁體:無異體
G1-00105:比:無繁體:無異體
G1-00106:互:無繁體:無異體
G1-00107:切:無繁體:無異體
G1-00108:瓦:無繁體:無異體
G1-00109:止:無繁體:無異體
G1-00110:少:無繁體:無異體
G1-00111:曰:無繁體:無異體
G1-00112:日:無繁體:無異體
G1-00113:中:無繁體:無異體
G1-00114:贝:貝:無異體
G1-00115:冈:岡:無異體
G1-00116:内:無繁體:無異體
G1-00117:水:無繁體:無異體
G1-00118:见:見:無異體
G1-00119:午:無繁體:無異體
G1-00120:牛:無繁體:無異體
G1-00121:手:無繁體:無異體
G1-00122:气:氣:無異體
G1-00123:毛:無繁體:無異體
G1-00124:壬:無繁體:無異體
G1-00125:升:無繁體:昇陞
G1-00126:夭:無繁體:殀
G1-00127:长:長:無異體
G1-00128:仁:無繁體:無異體
G1-00129:什:無繁體:無異體
G1-00130:片:無繁體:無異體
G1-00131:仆:仆:無異體:G1-00131:仆:僕:無異體
G1-00132:化:無繁體:無異體
G1-00133:仇:無繁體:讐讎
G1-00134:币:幣:無異體
G1-00135:仍:無繁體:無異體
G1-00136:仅:僅:無異體
G1-00137:斤:無繁體:觔
G1-00138:爪:無繁體:無異體
G1-00139:反:無繁體:無異體
G1-00140:介:無繁體:無異體
G1-00141:父:無繁體:無異體
G1-00142:从:從:無異體
G1-00143:仑:侖:崘崙
G1-00144:今:無繁體:無異體
G1-00145:凶:無繁體:兇
G1-00146:分:無繁體:無異體
G1-00147:乏:無繁體:無異體
G1-00148:公:無繁體:無異體
G1-00149:仓:倉:無異體
G1-00150:月:無繁體:無異體
G1-00151:氏:無繁體:無異體
G1-00152:勿:無繁體:無異體
G1-00153:欠:無繁體:無異體
G1-00154:风:風:無異體
G1-00155:丹:無繁體:無異體
G1-00156:匀:無繁體:無異體
G1-00157:乌:烏:無異體
G1-00158:勾:無繁體:無異體
G1-00159:凤:鳳:無異體
G1-00160:六:無繁體:無異體
G1-00161:文:無繁體:無異體
G1-00162:亢:無繁體:無異體
G1-00163:方:無繁體:無異體
G1-00164:火:無繁體:無異體
G1-00165:为:爲:無異體
G1-00166:斗:斗:無異體:G1-00166:斗:鬥:鬦鬪鬭
G1-00167:忆:憶:無異體
G1-00168:计:計:無異體
G1-00169:订:訂:無異體
G1-00170:户:無繁體:無異體
G1-00171:认:認:無異體
G1-00172:冗:無繁體:宂
G1-00173:讥:譏:無異體
G1-00174:心:無繁體:無異體
G1-00175:尺:無繁體:無異體
G1-00176:引:無繁體:無異體
G1-00177:丑:丑:無異體:G1-00177:丑:醜:無異體
G1-00178:巴:無繁體:無異體
G1-00179:孔:無繁體:無異體
G1-00180:队:隊:無異體
G1-00181:办:辦:無異體
G1-00182:以:無繁體:㕥㠯
G1-00183:允:無繁體:無異體
G1-00184:予:無繁體:無異體
G1-00185:邓:鄧:無異體
G1-00186:劝:勸:無異體
G1-00187:双:雙:無異體
G1-00188:书:書:無異體
G1-00189:幻:無繁體:無異體
G1-00190:玉:無繁體:無異體
G1-00191:刊:無繁體:栞
G1-00192:未:無繁體:無異體
G1-00193:末:無繁體:無異體
G1-00194:示:無繁體:無異體
G1-00195:击:擊:無異體
G1-00196:打:無繁體:無異體
G1-00197:巧:無繁體:無異體
G1-00198:正:無繁體:無異體
G1-00199:扑:撲:無異體
