1:万:万:万:万
2:丌:丌:丌:丌
3:丏:丏:丏:丏
4:冇:冇:冇:冇
5:与:与:与:与
6:丮:丮:丮:丮
7:丱:丱:丱:丱
8:丰:丰:丰:丰
9:乂:乂:乂:乂
10:乜:乜:乜:乜
11:亍:亍:亍:亍
12:亓:亓:亓:亓
13:亢:亢:亢:亢
14:亳:亳:亳:亳
15:亶:亶:亶:亶
16:亹:亹:亹:亹
17:仂:仂:仂:仂
18:仉:仉:仉:仉
19:仨:仨:仨:仨
20:仜:仜:仜:仜
21:仩:仩:仩:仩
22:仡:仡:仡:仡
23:仝:仝:仝:仝
24:伎:伎:伎:伎
25:优:优:优:优
26:伬:伬:伬:伬
27:仵:仵:仵:仵
28:伔:伔:伔:伔
29:伋:伋:伋:伋
30:仱:仱:仱:仱
31:伀:伀:伀:伀
32:价:价:价:价
33:佖:佖:佖:佖
34:伻:伻:伻:伻
35:佢:佢:佢:佢
36:佉:佉:佉:佉
37:体:体:体:体
38:佤:佤:佤:佤
39:伾:伾:伾:伾
40:佈:布:佈:布
41:佧:佧:佧:佧
42:佒:佒:佒:佒
43:佚:佚:佚:佚
44:佟:佟:佟:佟
45:佁:佁:佁:佁
46:佘:佘:佘:佘
47:侘:侘:侘:侘
48:佼:佼:佼:佼
49:侅:侅:侅:侅
50:佽:佽:佽:佽
51:侀:侀:侀:侀
52:侇:侇:侇:侇
53:佶:佶:佶:佶
54:佴:佴:佴:佴
55:侉:侉:侉:侉
56:侑:侑:侑:侑
57:侄:侄:侄:侄
58:佷:佷:佷:佷
59:佌:佌:佌:佌
60:侗:侗:侗:侗
61:佪:徊:佪:佪
62:侚:徇:侚:侚
63:佹:佹:佹:佹
64:侁:侁:侁:侁
65:佸:佸:佸:佸
66:侐:侐:侐:侐
67:侜:侜:侜:侜
68:佺:佺:佺:佺
69:侔:侔:侔:侔
70:侞:侞:侞:侞
71:俍:俍:俍:俍
72:俅:俅:俅:俅
73:俓:俓:俓:俓
74:侲:侲:侲:侲
75:俉:俉:俉:俉
76:侷:局:侷:侷
77:俋:俋:俋:俋
78:俁:俣:俁:俣
79:俔:伣:俔:伣
80:俜:俜:俜:俜
81:俙:俙:俙:俙
82:侻:侻:侻:侻
83:侳:侳:侳:侳
84:俛:俛:俛:俛
85:俇:俇:俇:俇
86:倞:倞:倞:倞
87:倅:倅:倅:倅
88:倇:倇:倇:倇
89:倓:倓:倓:倓
90:倢:倢:倢:倢
91:倰:倰:倰:倰
92:倛:倛:倛:倛
93:俵:俵:俵:俵
94:俴:俴:俴:俴
95:倳:倳:倳:倳
96:倷:倷:倷:倷
97:倬:倬:倬:倬
98:俶:俶:俶:俶
99:俷:俷:俷:俷
100:倗:倗:倗:倗
101:倜:倜:倜:倜
102:倠:倠:倠:倠
103:偯:偯:偯:偯
104:偰:偰:偰:偰
105:偪:逼:偪:偪
