G1-00001:一
G1-00002:乙
G1-00003:二
G1-00004:十
G1-00005:丁
G1-00006:厂
G1-00007:七
G1-00008:卜
G1-00009:八
G1-00010:人
G1-00011:入
G1-00012:儿
G1-00013:匕
G1-00014:几
G1-00015:九
G1-00016:刁
G1-00017:了
G1-00018:刀
G1-00019:力
G1-00020:乃
G1-00021:又
G1-00022:三
G1-00023:干
G1-00024:于
G1-00025:亏
G1-00026:工
G1-00027:土
G1-00028:士
G1-00029:才
G1-00030:下
G1-00031:寸
G1-00032:大
G1-00033:丈
G1-00034:与
G1-00035:万
G1-00036:上
G1-00037:小
G1-00038:口
G1-00039:山
G1-00040:巾
G1-00041:千
G1-00042:乞
G1-00043:川
G1-00044:亿
G1-00045:个
G1-00046:夕
G1-00047:久
G1-00048:么
G1-00049:勺
G1-00050:凡
G1-00051:丸
G1-00052:及
G1-00053:广
G1-00054:亡
G1-00055:门
G1-00056:丫
G1-00057:义
G1-00058:之
G1-00059:尸
G1-00060:己
G1-00061:已
G1-00062:巳
G1-00063:弓
G1-00064:子
G1-00065:卫
G1-00066:也
G1-00067:女
G1-00068:刃
G1-00069:飞
G1-00070:习
G1-00071:叉
G1-00072:马
G1-00073:乡
G1-00074:丰
G1-00075:王
G1-00076:开
G1-00077:井
G1-00078:天
G1-00079:夫
G1-00080:元
G1-00081:无
G1-00082:云
G1-00083:专
G1-00084:丐
G1-00085:扎
G1-00086:艺
G1-00087:木
G1-00088:五
G1-00089:支
G1-00090:厅
G1-00091:不
G1-00092:犬
G1-00093:太
G1-00094:区
G1-00095:历
G1-00096:歹
G1-00097:友
G1-00098:尤
G1-00099:匹
G1-00100:车
G1-00101:巨
G1-00102:牙
G1-00103:屯
G1-00104:戈
G1-00105:比
G1-00106:互
G1-00107:切
G1-00108:瓦
G1-00109:止
G1-00110:少
G1-00111:曰
G1-00112:日
G1-00113:中
G1-00114:贝
G1-00115:冈
G1-00116:内
G1-00117:水
G1-00118:见
G1-00119:午
G1-00120:牛
G1-00121:手
G1-00122:气
G1-00123:毛
G1-00124:壬
G1-00125:升
G1-00126:夭
G1-00127:长
G1-00128:仁
G1-00129:什
G1-00130:片
G1-00131:仆
G1-00132:化
G1-00133:仇
G1-00134:币
G1-00135:仍
G1-00136:仅
G1-00137:斤
G1-00138:爪
G1-00139:反
G1-00140:介
G1-00141:父
G1-00142:从
G1-00143:仑
G1-00144:今
G1-00145:凶
G1-00146:分
G1-00147:乏
G1-00148:公
G1-00149:仓
G1-00150:月
G1-00151:氏
G1-00152:勿
G1-00153:欠
G1-00154:风
G1-00155:丹
G1-00156:匀
G1-00157:乌
G1-00158:勾
G1-00159:凤
G1-00160:六
G1-00161:文
G1-00162:亢
G1-00163:方
G1-00164:火
G1-00165:为
G1-00166:斗
G1-00167:忆
G1-00168:计
G1-00169:订
G1-00170:户
G1-00171:认
G1-00172:冗
G1-00173:讥
G1-00174:心
G1-00175:尺
G1-00176:引
G1-00177:丑
G1-00178:巴
G1-00179:孔
G1-00180:队
G1-00181:办
G1-00182:以
G1-00183:允
G1-00184:予
G1-00185:邓
G1-00186:劝
G1-00187:双
G1-00188:书
G1-00189:幻
G1-00190:玉
G1-00191:刊
G1-00192:未
G1-00193:末
G1-00194:示
G1-00195:击
G1-00196:打
G1-00197:巧
G1-00198:正
G1-00199:扑
G1-00200:卉
G1-00201:扒
G1-00202:功
G1-00203:扔
G1-00204:去
G1-00205:甘
G1-00206:世
G1-00207:艾
G1-00208:古
G1-00209:节
G1-00210:本
G1-00211:术
G1-00212:可
G1-00213:丙
G1-00214:左
G1-00215:厉
G1-00216:石
G1-00217:右
G1-00218:布
G1-00219:夯
G1-00220:戊
G1-00221:龙
G1-00222:平
G1-00223:灭
G1-00224:轧
G1-00225:东
G1-00226:卡
G1-00227:北
G1-00228:占
G1-00229:凸
G1-00230:卢
G1-00231:业
G1-00232:旧
G1-00233:帅
G1-00234:归
G1-00235:旦
G1-00236:目
G1-00237:且
G1-00238:叶
G1-00239:甲
G1-00240:申
G1-00241:叮
G1-00242:电
G1-00243:号
G1-00244:田
G1-00245:由
G1-00246:只
G1-00247:叭
G1-00248:史
G1-00249:央
G1-00250:兄
G1-00251:叽
G1-00252:叼
G1-00253:叫
G1-00254:叩
G1-00255:叨
G1-00256:另
G1-00257:叹
G1-00258:冉
G1-00259:皿
G1-00260:凹
G1-00261:囚
G1-00262:四
G1-00263:生
G1-00264:矢
G1-00265:失
G1-00266:乍
G1-00267:禾
G1-00268:丘
G1-00269:付
G1-00270:仗
G1-00271:代
G1-00272:仙
G1-00273:们
G1-00274:仪
G1-00275:白
G1-00276:仔
G1-00277:他
G1-00278:斥
G1-00279:瓜
G1-00280:乎
G1-00281:丛
G1-00282:令
G1-00283:用
G1-00284:甩
G1-00285:印
G1-00286:尔
G1-00287:乐
G1-00288:句
G1-00289:匆
G1-00290:册
G1-00291:卯
G1-00292:犯
G1-00293:外
G1-00294:处
G1-00295:冬
G1-00296:鸟
G1-00297:务
G1-00298:包
G1-00299:饥
G1-00300:主
G1-00301:市
G1-00302:立
G1-00303:冯
G1-00304:玄
G1-00305:闪
G1-00306:兰
G1-00307:半
G1-00308:汁
G1-00309:汇
G1-00310:头
G1-00311:汉
G1-00312:宁
G1-00313:穴
G1-00314:它
G1-00315:讨
G1-00316:写
G1-00317:让
G1-00318:礼
G1-00319:训
G1-00320:议
G1-00321:必
G1-00322:讯
G1-00323:记
G1-00324:永
G1-00325:司
G1-00326:尼
G1-00327:民
G1-00328:弗
G1-00329:弘
G1-00330:出
G1-00331:辽
G1-00332:奶
G1-00333:奴
G1-00334:召
G1-00335:加
G1-00336:皮
G1-00337:边
G1-00338:孕
G1-00339:发
G1-00340:圣
G1-00341:对
G1-00342:台
G1-00343:矛
G1-00344:纠
G1-00345:母
G1-00346:幼
G1-00347:丝
G1-00348:邦
G1-00349:式
G1-00350:迂
G1-00351:刑
G1-00352:戎
G1-00353:动
G1-00354:扛
G1-00355:寺
G1-00356:吉
G1-00357:扣
G1-00358:考
G1-00359:托
G1-00360:老
G1-00361:巩
G1-00362:圾
G1-00363:执
G1-00364:扩
G1-00365:扫
G1-00366:地
G1-00367:场
G1-00368:扬
G1-00369:耳
G1-00370:芋
G1-00371:共
G1-00372:芒
G1-00373:亚
G1-00374:芝
G1-00375:朽
G1-00376:朴
G1-00377:机
G1-00378:权
G1-00379:过
G1-00380:臣
G1-00381:吏
G1-00382:再
G1-00383:协
G1-00384:西
G1-00385:压
G1-00386:厌
G1-00387:戌
G1-00388:在
G1-00389:百
G1-00390:有
G1-00391:存
G1-00392:而
G1-00393:页
G1-00394:匠
G1-00395:夸
G1-00396:夺
G1-00397:灰
G1-00398:达
G1-00399:列
G1-00400:死
G1-00401:成
G1-00402:夹
G1-00403:夷
G1-00404:轨
G1-00405:邪
G1-00406:尧
G1-00407:划
G1-00408:迈
G1-00409:毕
G1-00410:至
G1-00411:此
G1-00412:贞
G1-00413:师
G1-00414:尘
G1-00415:尖
G1-00416:劣
G1-00417:光
G1-00418:当
G1-00419:早
G1-00420:吁
G1-00421:吐
G1-00422:吓
G1-00423:虫
G1-00424:曲
G1-00425:团
G1-00426:吕
G1-00427:同
G1-00428:吊
G1-00429:吃
G1-00430:因
G1-00431:吸
G1-00432:吗
G1-00433:吆
G1-00434:屿
G1-00435:屹
G1-00436:岁
G1-00437:帆
G1-00438:回
G1-00439:岂
G1-00440:则
G1-00441:刚
G1-00442:网
G1-00443:肉
G1-00444:年
G1-00445:朱
G1-00446:先
G1-00447:丢
G1-00448:廷
G1-00449:舌
G1-00450:竹
G1-00451:迁
G1-00452:乔
G1-00453:迄
G1-00454:伟
G1-00455:传
G1-00456:乒
G1-00457:乓
G1-00458:休
G1-00459:伍
G1-00460:伏
G1-00461:优
G1-00462:臼
G1-00463:伐
G1-00464:延
G1-00465:仲
G1-00466:件
G1-00467:任
G1-00468:伤
G1-00469:价
G1-00470:伦
G1-00471:份
G1-00472:华
G1-00473:仰
G1-00474:仿
G1-00475:伙
G1-00476:伪
G1-00477:自
G1-00478:伊
G1-00479:血
G1-00480:向
G1-00481:似
G1-00482:后
G1-00483:行
G1-00484:舟
G1-00485:全
G1-00486:会
G1-00487:杀
G1-00488:合
G1-00489:兆
G1-00490:企
G1-00491:众
G1-00492:爷
G1-00493:伞
G1-00494:创
G1-00495:肌
G1-00496:肋
G1-00497:朵
G1-00498:杂
G1-00499:危
G1-00500:旬
G1-00501:旨
G1-00502:旭
G1-00503:负
G1-00504:匈
G1-00505:名
G1-00506:各
G1-00507:多
G1-00508:争
G1-00509:色
G1-00510:壮
G1-00511:冲
G1-00512:妆
G1-00513:冰
G1-00514:庄
G1-00515:庆
G1-00516:亦
G1-00517:刘
G1-00518:齐
G1-00519:交
G1-00520:衣
G1-00521:次
G1-00522:产
G1-00523:决
G1-00524:亥
G1-00525:充
G1-00526:妄
G1-00527:闭
G1-00528:问
G1-00529:闯
G1-00530:羊
G1-00531:并
G1-00532:关
G1-00533:米
G1-00534:灯
G1-00535:州
G1-00536:汗
G1-00537:污
G1-00538:江
G1-00539:汛
G1-00540:池
G1-00541:汝
