佪:徊
侚:徇
侷:局
伣:俔
偪:逼
傚:效
僊:仙
㑩:罗
凅:涸
剉:锉
勣:绩
卬:昂
历:厤
叁:叄
叡:睿
茍:苟
咷:啕
吣:唚
啗:啖
唝:嗊
㖊:噚
啴:嘽
亸:嚲
囓:啮
坵:丘
埯:垵
埜:野
墫:樽
壎:埙
壸:壼
姹:奼
婬:淫
媮:偷
嫋:袅
媿:愧
嬭:奶
孃:娘
采:寀
寘:置
屝:扉
崠:岽
崳:嵛
嵒:岩
崄:嶮
嶨:峃
幵:开
庂:仄
廎:庼
廱:痈
惇:敦
惷:蠢
懃:勤
戉:钺
扐:仂
扞:捍
抃:拚
抔:抱
扱:插
扺:抵
抴:曳
拑:钳
挌:格
挶:局
捝:挩
㧑:撝
揹:背
搆:构
摃:扛
搟:擀
搨:打
揾:搵
搯:掏
摀:捂
搥:捶
撦:扯
撢:掸
擣:捣
攷:考
旛:幡
晞:曦
晢:晰
晻:暗
旸:阳
暱:昵
朢:望
杇:圬
锨:杴
栒:旬
桮:杯
棁:梲
梾:棶
:㭎
楙:茂
楄:匾
槃:盘
梿:槤
橦:幢
梼:檮
櫐:累
蘖:櫱
櫺:棂
欸:唉
殀:夭
㱩:殰
殽:肴
毌:毋
毘:毗
毬:球
牦:氂
汍:丸
汎:泛
沍:冱
洟:涕
凌:淩
湣:闵
渢:沨
漊:溇
澂:澄
潟:舄
澔:浩
濜:浕
㲿:瀇
瀁:漾
灩:滟
炤:照
炰:炮
煖:暖
煴:熅
颎:熲
燿:耀
狚:旦
玅:妙
玆:兹
珪:圭
琱:雕
玚:瑒
珰:璫
璿:璇
瓖:镶
甪:角
畬:畲
痳:麻
疭:瘲
皁:皂
瞆:瞶
砲:炮
硁:硜
埼:崎
碪:砧
祂:他
祅:祆
祼:裸
祃:禡
祢:禰
秏:耗
秾:穠
穨:颓
稆:穭
笻:筇
䇲:策
劄:札
箄:箅
箠:棰
筼:篔
篲:彗
篠:筱
筜:簹
籥:龠
纻:紵
䌹:絅
绤:綌
绹:綯
縚:绦
䌸:缚
繈:襁
穗:繐
繙:翻
䍁:繸
缾:瓶
罦:罘
翬:翚
耑:端
耡:助
耤:藉
肏:操
肐:胳
胇:肺
胊:朐
膆:嗉
膞:䏝
膕:腘
臕:膘
臙:胭
舋:衅
艸:艹
荅:答
荳:豆
菫:堇
蔆:菱
参:蔘
芸:蕓
蕰:薀
薙:剃
苧:薴
䓕:薳
藭:䓖
藷:薯
蘀:萚
蔂:虆
虖:呼
蜺:霓
䗖:螮
螀:螿
蟺:蟮
蠷:蠼
衒:炫
同:衕
袪:祛
裈:褌
袆:褘
褎:袖
袯:襏
幞:襆
䙓:摆
襾:西
覈:核
覜:眺
觔:筋
觝:抵
讱:訒
䜣:欣
诐:詖
詶:酬
詻:咯
訚:誾
諠:喧
謼:呼
譆:嘻
譔:撰
譟:噪
诪:譸
䜧:譅
讌:宴
仇:雠
䝙:貙
賸:剩
赟:贇
赑:贔
赪:赬
踡:蜷
踰:逾
蹠:跖
蹟:迹
蹧:糟
轪:軑
辀:輈
辌:輬
辒:轀
酂:酇
酖:鸩
醆:盏
酰:醯
酦:发
醼:宴
釆:采
钑:鈒
鉆:钻
铦:銛
铚:銍
铻:鋙
銲:焊
铔:錏
锜:錡
鍼:针
锽:鍠
镈:鎛
鎗:枪
戚:鏚
镠:鏐
鑪:炉
镵:鑱
钂:镋
镢:䦆
闬:閈
阇:闍
闇:暗
阘:闒
阓:闠
阛:闤
阬:坑
阨:厄
阯:址
陏:隋
隄:堤
隤:颓
霡:霢
霤:溜
靆:叇
靉:叆
鼗:鞀
鞲:韝
頫:俯
飐:颭
飖:颻
饤:飣
餈:糍
餔:哺
饾:餖
馂:餕
餬:糊
馌:饁
饟:馕
驲:馹
駮:驳
骃:駰
骍:騂
騃:呆
骙:騤
䯄:騧
騣:鬃
骕:驌
骦:驦
骉:驫
髣:仿
鳀:鯷
鸤:鳲
鴈:雁
鹓:鵷
鹢:鷁
鹝:鷊
鹠:鶹
䴘:鷈
鶱:骞
鹔:鷫
鷰:燕
㶉:鸂
䴙:鷿
鸴:鷽
鹲:鸏
齄:齇
龁:齕
龂:齗
齧:啮
