佪:佪
俔:伣
儸:偻
厤:历
唚:吣
嗊:唝
噚:㖊
嚲:亸
垵:埯
墫:蹲
壼:壸
奼:姹
媮:愉
寀:采
嶮:崄
幵:幵
戉:戉
扞:扞
抃:抃
抔:抔
扱:扱
扺:扺
撝:㧑
揹:揹
搵:揾
晞:晞
晢:晢
暘:旸
杴:锨
梲:棁
棶:梾
槤:梿
檮:梼
櫱:蘖
殰:㱩
毌:毌
氂:牦
潟:潟
熲:颎
瑒:玚
璫:珰
甪:甪
瘲:疭
瞶:瞆
砲:砲
硜:硁
禡:祃
禰:祢
穠:秾
箄:箄
篔:筼
簹:筜
紵:纻
絅:䌹
綌:绤
綯:绹
繐:穗
繸:䍁
耡:锄
耤:耤
肏:肏
膞:膞
艸:艸
荅:荅
蔘:参
蕓:芸
薀:蕰
薴:苧
薳:䓕
藷:藷
虆:蔂
螮:䗖
螿:螀
衕:同
褌:裈
褘:袆
襏:袯
襆:幞
襾:襾
詖:诐
誾:訚
譸:诪
貙:䝙
贇:赟
贔:赑
赬:赪
蹠:蹠
軑:轪
輈:辀
輬:辌
轀:辒
酇:酂
酖:耽
鈒:钑
銛:铦
銍:铚
鋙:铻
錏:铔
錡:锜
鍠:锽
鎛:镈
鏚:戚
鏐:镠
鑱:镵
钁:镢
閈:闬
闍:阇
闒:阘
闠:阓
闤:阛
陏:陏
霢:霡
鞀:鼗
韝:鞲
颭:飐
颻:飖
飣:饤
餖:饾
餕:馂
饁:馌
馹:驲
駰:骃
騂:骍
鯷:鳀
鳲:鸤
鵷:鹓
鷁:鹢
鷊:鹝
鶹:鹠
鷈:䴘
鷫:鹔
鸂:㶉
鷿:䴙
鷽:鸴
鸏:鹲
齕:龁
齗:龂
驌:骕
驦:骦
驫:骉
