A00001:一
A00002:丁
A00003:七
A00004:三
A00005:下
A00006:丈
A00007:上
A00008:丑
A00009:丐
A00010:不
A00011:丙
A00012:世
A00013:丕
A00014:且
A00015:丘
A00016:丞
A00017:丟
A00018:並
A00019:丫
A00020:中
A00021:串
A00022:丸
A00023:凡
A00024:丹
A00025:主
A00026:乃
A00027:久
A00028:么
A00029:之
A00030:尹
A00031:乍
A00032:乏
A00033:乎
A00034:乒
A00035:乓
A00036:乖
A00037:乘
A00038:乙
A00039:九
A00040:也
A00041:乞
A00042:乩
A00043:乳
A00044:乾
A00045:亂
A00046:了
A00047:予
A00048:事
A00049:二
A00050:于
A00051:云
A00052:井
A00053:互
A00054:五
A00055:亙
A00056:些
A00057:亞
A00058:亟
A00059:亡
A00060:交
A00061:亦
A00062:亥
A00063:亨
A00064:享
A00065:京
A00066:亭
A00067:亮
A00068:人
A00069:仁
A00070:什
A00071:仃
A00072:仆
A00073:仇
A00074:仍
A00075:今
A00076:介
A00077:仄
A00078:以
A00079:付
A00080:仔
A00081:仕
A00082:他
A00083:仗
A00084:代
A00085:令
A00086:仙
A00087:仞
A00088:仿
A00089:伉
A00090:伙
A00091:伊
A00092:伕
A00093:伍
A00094:伐
A00095:休
A00096:伏
A00097:仲
A00098:件
A00099:任
A00100:仰
A00101:仳
A00102:份
A00103:企
A00104:位
A00105:住
A00106:佇
A00107:佗
A00108:佞
A00109:伴
A00110:佛
A00111:何
A00112:估
A00113:佐
A00114:佑
A00115:伽
A00116:伺
A00117:伸
A00118:佃
A00119:佔
A00120:似
A00121:但
A00122:佣
A00123:作
A00124:你
A00125:伯
A00126:低
A00127:伶
A00128:余
A00129:佝
A00130:佯
A00131:依
A00132:侍
A00133:佳
A00134:使
A00135:佬
A00136:供
A00137:例
A00138:來
A00139:侃
A00140:佰
A00141:併
A00142:侈
A00143:佩
A00144:佻
A00145:侖
A00146:佾
A00147:侏
A00148:信
A00149:侵
A00150:侯
A00151:便
A00152:俠
A00153:俑
A00154:俏
A00155:保
A00156:促
A00157:侶
A00158:俘
A00159:俟
A00160:俊
A00161:俗
A00162:侮
A00163:俐
A00164:俄
A00165:係
A00166:俚
A00167:俎
A00168:俞
A00169:倌
A00170:倍
A00171:倣
A00172:俯
A00173:倦
A00174:倥
A00175:俸
A00176:倩
A00177:倖
A00178:倆
A00179:值
A00180:借
A00181:倚
A00182:倒
A00183:們
A00184:俺
A00185:倀
A00186:倔
A00187:倨
A00188:俱
A00189:倡
A00190:個
A00191:候
A00192:倘
A00193:俳
A00194:修
A00195:倭
A00196:倪
A00197:俾
A00198:倫
A00199:倉
A00200:偺
A00201:偽
A00202:停
A00203:假
A00204:偃
A00205:偌
A00206:做
A00207:偉
A00208:健
A00209:偶
A00210:偎
A00211:偕
A00212:偵
A00213:側
A00214:偷
A00215:偏
A00216:倏
A00217:傢
A00218:傍
A00219:傅
A00220:備
A00221:傑
A00222:傀
A00223:傖
A00224:傘
A00225:傭
A00226:債
A00227:傲
A00228:傳
A00229:僅
A00230:傾
A00231:催
A00232:傷
A00233:傻
A00234:傯
A00235:僧
A00236:僮
A00237:僥
A00238:僖
A00239:僭
A00240:僚
A00241:僕
A00242:像
A00243:僑
A00244:僱
A00245:億
A00246:儀
A00247:僻
A00248:僵
A00249:價
A00250:儂
A00251:儈
A00252:儉
A00253:儒
A00254:儘
A00255:儔
A00256:儐
A00257:優
A00258:償
A00259:儡
A00260:儲
A00261:儷
A00262:儼
A00263:兀
A00264:元
A00265:允
A00266:充
A00267:兄
A00268:光
A00269:兇
A00270:兆
A00271:先
A00272:兌
A00273:克
A00274:兕
A00275:免
A00276:兔
A00277:兒
A00278:兗
A00279:兜
A00280:兢
A00281:入
A00282:內
A00283:全
A00284:兩
A00285:八
A00286:六
A00287:兮
A00288:公
A00289:共
A00290:兵
A00291:具
A00292:其
A00293:典
A00294:兼
A00295:冀
A00296:冉
A00297:冊
A00298:再
A00299:冒
A00300:冑
A00301:冕
A00302:最
A00303:冗
A00304:冠
A00305:冤
A00306:冥
A00307:冢
A00308:冬
A00309:冰
A00310:冶
A00311:冷
A00312:冽
A00313:凍
A00314:凌
A00315:准
A00316:凋
A00317:凜
A00318:凝
A00319:几
A00320:凰
A00321:凱
A00322:凳
A00323:凶
A00324:凹
A00325:出
A00326:凸
A00327:函
A00328:刀
A00329:刁
A00330:刃
A00331:分
A00332:切
A00333:刈
A00334:刊
A00335:列
A00336:刑
A00337:划
A00338:刎
A00339:別
A00340:判
A00341:利
A00342:刪
A00343:刨
A00344:刻
A00345:券
A00346:刷
A00347:刺
A00348:到
A00349:刮
A00350:制
A00351:剁
A00352:剎
A00353:剃
A00354:削
A00355:前
A00356:剌
A00357:剋
A00358:則
A00359:剖
A00360:剜
A00361:剔
A00362:剛
A00363:剝
A00364:剪
A00365:副
A00366:割
A00367:剴
A00368:創
A00369:剩
A00370:剿
A00371:剷
A00372:剽
A00373:劃
A00374:劇
A00375:劈
A00376:劉
A00377:劍
A00378:劑
A00379:力
A00380:加
A00381:功
A00382:劣
A00383:劫
A00384:助
A00385:努
A00386:劬
A00387:劾
A00388:勇
A00389:勉
A00390:勃
A00391:勁
A00392:勒
A00393:務
A00394:勘
A00395:動
A00396:勞
A00397:勝
A00398:勛
A00399:募
A00400:勦
A00401:勤
A00402:勢
A00403:勵
A00404:勸
A00405:勻
A00406:勾
A00407:勿
A00408:包
A00409:匆
A00410:匈
A00411:匍
A00412:匐
A00413:匏
A00414:匕
A00415:化
A00416:北
A00417:匙
A00418:匝
A00419:匡
A00420:匠
A00421:匣
A00422:匪
A00423:匯
A00424:匱
A00425:匹
A00426:匿
A00427:區
A00428:匾
A00429:十
A00430:千
A00431:午
A00432:升
A00433:卅
A00434:仟
A00435:半
A00436:卉
A00437:卒
A00438:協
A00439:卓
A00440:卑
A00441:南
A00442:博
A00443:卜
A00444:卞
A00445:卡
A00446:占
A00447:卦
A00448:卯
A00449:卮
A00450:印
A00451:危
A00452:即
A00453:卵
A00454:卷
A00455:卸
A00456:卹
A00457:卻
A00458:卿
A00459:厄
A00460:厚
A00461:原
A00462:厝
A00463:厥
A00464:厭
A00465:厲
A00466:去
A00467:參
A00468:又
A00469:叉
A00470:友
A00471:及
A00472:反
A00473:取
A00474:叔
A00475:受
A00476:叛
A00477:叟
A00478:曼
A00479:叢
A00480:口
A00481:可
A00482:古
A00483:右
A00484:召
A00485:叮
A00486:叩
A00487:叨
A00488:叼
A00489:司
A00490:叵
A00491:叫
A00492:另
A00493:只
A00494:史
A00495:叱
A00496:台
A00497:句
A00498:叭
A00499:吉
A00500:吏
A00501:同
A00502:吊
A00503:吐
A00504:吁
A00505:吋
A00506:各
A00507:向
A00508:名
A00509:合
A00510:吃
A00511:后
A00512:吆
A00513:吒
A00514:吝
A00515:吭
A00516:吞
A00517:吾
A00518:否
A00519:呎
A00520:吧
A00521:呆
A00522:呃
A00523:吳
A00524:呈
A00525:呂
A00526:君
A00527:吩
A00528:告
A00529:吹
A00530:吻
A00531:吸
A00532:吮
A00533:吵
A00534:吶
A00535:吠
A00536:吼
A00537:呀
A00538:吱
A00539:含
A00540:吟
A00541:味
A00542:呵
A00543:咖
A00544:呸
A00545:咕
A00546:咀
A00547:呻
A00548:呷
A00549:咄
A00550:咒
A00551:咆
A00552:呼
A00553:咐
A00554:呱
A00555:呶
A00556:和
A00557:咚
A00558:呢
A00559:周
A00560:咋
A00561:命
A00562:咎
A00563:咬
A00564:哀
A00565:咨
A00566:哎
A00567:哉
A00568:咸
A00569:咦
A00570:咳
A00571:哇
A00572:哂
A00573:咽
A00574:咪
A00575:品
A00576:哄
A00577:哈
A00578:咯
A00579:咫
A00580:咱
A00581:咻
A00582:哨
A00583:唐
A00584:唁
A00585:唷
A00586:哼
A00587:哥
A00588:哲
A00589:唆
A00590:哺
A00591:唔
A00592:哩
A00593:哭
A00594:員
A00595:唉
A00596:哮
A00597:哪
A00598:哦
A00599:唧
A00600:商
A00601:啪
A00602:啦
A00603:啄
A00604:啞
A00605:啡
A00606:啃
A00607:啊
A00608:唱
A00609:啖
A00610:問
A00611:啕
A00612:唯
A00613:啤
A00614:唸
A00615:售
A00616:啜
A00617:唬
A00618:啣
A00619:唳
A00620:啻
A00621:喀
A00622:喧
A00623:啼
A00624:喊
A00625:喝
A00626:喘
A00627:喂
A00628:喜
A00629:喪
A00630:喔
A00631:喇
A00632:喋
A00633:喃
A00634:喳
A00635:單
A00636:喟
A00637:唾
A00638:喲
A00639:喚
A00640:喻
A00641:喬
A00642:喱
A00643:啾
A00644:喉
A00645:嗟
A00646:嗨
A00647:嗓
A00648:嗦
A00649:嗎
A00650:嗜
A00651:嗇
A00652:嗑
A00653:嗣
A00654:嗤
A00655:嗯
A00656:嗚
A00657:嗡
A00658:嗅
A00659:嗆
A00660:嗥
A00661:嗾
A00662:嘀
A00663:嘛
A00664:嘗
A00665:嗽
A00666:嘔
A00667:嘆
A00668:嘉
A00669:嘍
A00670:嘎
A00671:嗷
A00672:嘖
A00673:嘟
A00674:嘈
A00675:嘮
A00676:嘻
A00677:嘹
A00678:嘲
A00679:嘿
A00680:嘩
A00681:噓
A00682:噎
A00683:噗
A00684:噴
A00685:嘶
A00686:嘯
A00687:嘰
A00688:噙
A00689:噫
A00690:噹
A00691:噩
A00692:噤
A00693:噸
A00694:嘴
A00695:噪
A00696:器
A00697:噥
A00698:噱
A00699:噯
A00700:噬
A00701:噢
A00702:嚎
A00703:嚀
A00704:嚐
