序1 :B04334:蝟:猬:蝟:一對未知
序135 :A03636:蛔:蛔:佔格:一簡對一:G2-05147:無繁體:蛔:蚘痐蛕蜖
序137 :B04265:蛗:蛗:無相關對應:一對未知
序138 :B04251:蛘:蛘:無相關對應:一對未知:G2-05151:無繁體:蛘:無異體
序140 :A03634:蛙:蛙:佔格:一簡對一:G1-02634:無繁體:蛙:鼃
序142 :B04256:蛚:蛚:無相關對應:一對未知
序143 :A03637:蛛:蛛:佔格:一簡對一:G1-02635:無繁體:蛛:無異體
序145 :B04262:蛜:蛜:無相關對應:一對未知
序146 :B04258:蛝:蛝:無相關對應:一對未知
序147 :B04260:蛞:蛞:無相關對應:一對未知:G2-05148:無繁體:蛞:無異體
序149 :A03633:蛟:蛟:佔格:一簡對一:G2-05150:無繁體:蛟:無異體
序151 :B04252:蛢:蛢:無相關對應:一對未知
序152 :B04255:蛣:蛣:無相關對應:一對未知
序153 :A03638:蛤:蛤:佔格:一簡對一:G1-02638:無繁體:蛤:無異體
序155 :B04253:蛦:蛦:無相關對應:一對未知
序156 :B04264:蛩:蛩:無相關對應:一對未知:G2-05072:無繁體:蛩:無異體
序158 :B04257:蛪:蛪:無相關對應:一對未知
序159 :B04261:蛫:蛫:無相關對應:一對未知
序160 :B04263:蛬:蛬:無相關對應:一對未知
序161 :A03635:蛭:蛭:佔格:一簡對一:G2-05144:無繁體:蛭:無異體
序163 :A03697:蠻:蛮:蠻:一簡對一:G1-02727:蠻:蛮:無異體
序165 :B04379:蟄:蛰:蟄:一對未知:G2-05073:蟄:蛰:無異體
序167 :B04270:蛺:蛱:蛺:一對未知:G2-05142:蛺:蛱:無異體
序169 :A03681:蟯:蛲:蟯:一簡對一:G2-05143:蟯:蛲:無異體
序171 :B04359:螄:蛳:螄:一對未知:G2-05145:螄:蛳:無異體
序173 :B04424:蠐:蛴:蠐:一對未知:G2-05149:蠐:蛴:無異體
序175 :B04271:蛖:蛖:無相關對應:一對未知
序176 :B04272:蛵:蛵:無相關對應:一對未知
序177 :B04280:蛶:蛶:無相關對應:一對未知
序178 :B04268:蛷:蛷:無相關對應:一對未知
序179 :B04274:蛸:蛸:無相關對應:一對未知:G2-05459:無繁體:蛸:無異體
序181 :A03639:蛹:蛹:佔格:一簡對一:G2-05465:無繁體:蛹:無異體
序183 :A03644:蛾:蛾:佔格:一簡對一:G1-02924:無繁體:蛾:無異體
序185 :A03643:蜀:蜀:佔格:一簡對一:G1-02934:無繁體:蜀:無異體
序187 :B04278:蜁:蜁:無相關對應:一對未知
序188 :A03646:蜂:蜂:佔格:一簡對一:G1-02925:無繁體:蜂:䗬蠭
序190 :A03647:蜃:蜃:佔格:一簡對一:G2-05416:無繁體:蜃:無異體
序192 :B04267:蜄:蜄:無相關對應:一對未知
序193 :A03642:蜇:蜇:佔格:一簡對一:G2-05356:無繁體:蜇:無異體
序195 :A03641:蜈:蜈:佔格:一簡對一:G1-02922:無繁體:蜈:無異體
序197 :B04277:蜉:蜉:無相關對應:一對未知:G2-05462:無繁體:蜉:無異體
序199 :B04279:蜊:蜊:無相關對應:一對未知:G2-05460:無繁體:蜊:無異體
序201 :B04266:蜋:蜋:無相關對應:一對未知
序202 :B04269:蜌:蜌:無相關對應:一對未知
序203 :B04281:蜍:蜍:無相關對應:一對未知:G2-05461:無繁體:蜍:無異體
序205 :B04276:蜎:蜎:無相關對應:一對未知:G3-07524:無繁體:蜎:無異體
序207 ::::::G3-07523:無繁體:蜐:無異體
序208 :B04315:蜑:蜑:無相關對應:一對未知
序209 :B04304:蜒:蜒:無相關對應:一對未知:G1-02637:無繁體:蜒:無異體
序211 :A03640:蜓:蜓:佔格:一簡對一:G1-02636:無繁體:蜓:無異體
序213 :A03645:蛻:蜕:佔格:一簡對一:G1-02926:無繁體:蜕:無異體
序215 :A03661:蝸:蜗:蝸:一簡對一:G1-02923:蝸:蜗:無異體
序217 :B04297:蝆:蝆:無相關對應:一對未知
序218 :A03654:蜘:蜘:佔格:一簡對一:G1-03108:無繁體:蜘:無異體
序220 :B04291:蜙:蜙:無相關對應:一對未知
序221 :B04313:蜚:蜚:無相關對應:一對未知:G2-05687:無繁體:蜚:無異體
序223 :B04292:蜛:蜛:無相關對應:一對未知
序224 :A03649:蜜:蜜:佔格:一簡對一:G1-03175:無繁體:蜜:無異體
序226 :B04289:蜞:蜞:無相關對應:一對未知:G2-05704:無繁體:蜞:無異體
序228 :B04298:蜠:蜠:無相關對應:一對未知
序229 :A03693:蠟:蜡:蠟:一簡對一:G1-03106:蠟:蜡:無異體
序230 :B04290:蜡:蜡:無相關對應:一對未知:G1-03106:蠟:蜡:無異體
序232 :A03651:蜢:蜢:佔格:一簡對一:G2-05714:無繁體:蜢:無異體
序234 :B04284:蜣:蜣:無相關對應:一對未知:G2-05463:無繁體:蜣:無異體
序236 :B04312:蜤:蜤:無相關對應:一對未知
序237 :A03652:蜥:蜥:佔格:一簡對一:G2-05705:無繁體:蜥:無異體
序239 :B04309:蜦:蜦:無相關對應:一對未知
序240 :B04310:蜧:蜧:無相關對應:一對未知
序241 :B04285:蜨:蜨:無相關對應:一對未知
序242 :B04300:蜩:蜩:無相關對應:一對未知:G2-05710:無繁體:蜩:無異體
序244 :B04301:蜪:蜪:無相關對應:一對未知
序245 :B04294:蜬:蜬:無相關對應:一對未知
序246 :B04302:蜭:蜭:無相關對應:一對未知
序247 :B04288:蜮:蜮:無相關對應:一對未知:G2-05706:無繁體:蜮:無異體
序249 :B04314:蜰:蜰:無相關對應:一對未知
序250 :B04306:蜱:蜱:無相關對應:一對未知:G2-05709:無繁體:蜱:無異體
序252 :B04299:蜲:蜲:無相關對應:一對未知
序253 :B04282:蜳:蜳:無相關對應:一對未知
序254 :A03653:蜴:蜴:佔格:一簡對一:G2-05708:無繁體:蜴:無異體
序256 :B04307:蜵:蜵:無相關對應:一對未知
序257 :B04283:蜷:蜷:無相關對應:一對未知:G2-05711:無繁體:蜷:無異體
序258 :B04914:踡:蜷:踡:一對未知:G2-05711:無繁體:蜷:無異體
序260 :B04311:蜸:蜸:無相關對應:一對未知
序261 :A03650:蜻:蜻:佔格:一簡對一:G1-03105:無繁體:蜻:無異體
序263 :B04303:蜼:蜼:無相關對應:一對未知
序264 :B04296:蜾:蜾:無相關對應:一對未知:G3-07674:無繁體:蜾:無異體
序266 :A03648:蜿:蜿:佔格:一簡對一:G2-05712:無繁體:蜿:無異體
序268 :B04287:蝀:蝀:無相關對應:一對未知
序269 :B04295:蝁:蝁:無相關對應:一對未知
序270 :B04308:蝂:蝂:無相關對應:一對未知
序271 :B04293:蝃:蝃:無相關對應:一對未知
序272 :A03685:蠅:蝇:蠅:一簡對一:G1-03107:蠅:蝇:無異體
序274 :A03679:蟈:蝈:蟈:一簡對一:G2-05707:蟈:蝈:無異體
序276 :A03682:蟬:蝉:蟬:一簡對一:G1-03109:蟬:蝉:無異體
序278 :A03665:蝌:蝌:佔格:一簡對一:G1-03249:無繁體:蝌:無異體
序280 :B04273:蝍:蝍:無相關對應:一對未知
序281 :A03686:蠍:蝎:佔格:一簡對一:G1-03248:無繁體:蝎:蠍
序282 :B04333:蝎:蝎:無相關對應:一對未知:G1-03248:無繁體:蝎:蠍
序284 :B04332:蝐:蝐:無相關對應:一對未知
序285 :B04328:蝑:蝑:無相關對應:一對未知
序286 :B04325:蝒:蝒:無相關對應:一對未知
序287 :B04338:蝓:蝓:無相關對應:一對未知:G2-05926:無繁體:蝓:無異體
序289 :B04323:蝔:蝔:無相關對應:一對未知
序290 :B04316:蝖:蝖:無相關對應:一對未知
序291 :A03664:蝗:蝗:佔格:一簡對一:G1-03250:無繁體:蝗:無異體
序293 :B04322:蝘:蝘:無相關對應:一對未知:G3-07773:無繁體:蝘:無異體
序295 :A03663:蝙:蝙:佔格:一簡對一:G1-03251:無繁體:蝙:無異體
序297 :B04327:蝚:蝚:無相關對應:一對未知
序298 :B04324:蝛:蝛:無相關對應:一對未知
序299 :B04341:蝜:蝜:無相關對應:一對未知
序300 :B04335:蝝:蝝:無相關對應:一對未知
序301 :B04329:蝞:蝞:無相關對應:一對未知
序302 :A03659:蝠:蝠:佔格:一簡對一:G1-03247:無繁體:蝠:無異體
序304 :B04326:蝡:蝡:無相關對應:一對未知
序305 :B04317:蝣:蝣:無相關對應:一對未知:G2-05927:無繁體:蝣:無異體
序307 :B04318:蝤:蝤:無相關對應:一對未知:G3-07775:無繁體:蝤:無異體
序309 :B04342:蝥:蝥:無相關對應:一對未知:G2-06020:無繁體:蝥:無異體
序311 :B04331:蝪:蝪:無相關對應:一對未知
序312 :B04286:蝫:蝫:無相關對應:一對未知
序313 :B04337:蝬:蝬:無相關對應:一對未知
序314 :B04330:蝭:蝭:無相關對應:一對未知
序315 :B04340:蝮:蝮:無相關對應:一對未知:G2-05924:無繁體:蝮:無異體
序317 :B04336:蝯:蝯:無相關對應:一對未知
序318 ::::::G2-05923:無繁體:蝰:無異體
序319 ::::::G3-07774:無繁體:蝲:無異體
序320 :B04321:蝳:蝳:無相關對應:一對未知
序321 :A03657:蝴:蝴:佔格:一簡對一:G1-03246:無繁體:蝴:無異體
序323 :A03658:蝶:蝶:佔格:一簡對一:G1-03245:無繁體:蝶:蜨
序325 :B04319:蝷:蝷:無相關對應:一對未知
序326 :B04339:蝺:蝺:無相關對應:一對未知
序327 ::::::G2-05922:無繁體:蝻:無異體
序328 :A03677:螻:蝼:螻:一簡對一:G2-05928:螻:蝼:無異體
序330 ::::::G2-05920:無繁體:蝽:無異體
序331 :B04425:蠑:蝾:蠑:一對未知:G2-05921:蠑:蝾:無異體
