序1 :A03583:藉:借:藉:一簡對多
序140 :A00722:囌:苏:囌:一簡對多:G1-00677:蘇:苏:甦蘓:G1-00677:苏:囌:無異體
序141 :A02626:甦:苏:佔格:一簡對多:G1-00677:蘇:苏:甦蘓:G1-00677:苏:囌:無異體
序142 :A03597:蘇:苏:蘇:一簡對多:G1-00677:蘇:苏:甦蘓:G1-00677:苏:囌:無異體
序144 ::::::G3-06576:蔿:𫇭:無異體
序145 :A03459:苑:苑:佔格:一簡對一:G1-01008:無繁體:苑:無異體
序147 :A03453:苒:苒:佔格:一簡對一:G2-03861:無繁體:苒:無異體
序149 :A03461:苓:苓:佔格:一簡對一:G2-03865:無繁體:苓:無異體
序151 :A03458:苔:苔:佔格:一簡對一:G1-01015:無繁體:苔:無異體
序153 :B03819:苕:苕:無相關對應:一對未知:G2-03873:無繁體:苕:無異體
序155 :B03822:苖:苖:無相關對應:一對未知
序156 :A03454:苗:苗:佔格:一簡對一:G1-01005:無繁體:苗:無異體
序158 ::::::G2-03862:無繁體:苘:無異體
序159 :B03812:苙:苙:無相關對應:一對未知
序160 :A03447:苛:苛:佔格:一簡對一:G1-01001:無繁體:苛:無異體
序162 :A03457:苜:苜:佔格:一簡對一:G2-03859:無繁體:苜:無異體
序164 :A03460:苞:苞:佔格:一簡對一:G1-01009:無繁體:苞:無異體
序166 :A03462:苟:苟:佔格:一簡對一:G1-01007:無繁體:苟:無異體
序167 :B00317:茍:苟:茍:一對未知:G1-01007:無繁體:苟:無異體
序168 :A03462:苟:苟:佔格:一簡對一:G1-01007:無繁體:苟:無異體
序169 :B00317:茍:苟:茍:一對未知:G1-01007:無繁體:苟:無異體
序171 ::::::G3-06662:無繁體:苠:無異體
序172 :B03825:苡:苡:無相關對應:一對未知:G2-03677:無繁體:苡:無異體
序174 :A03446:苣:苣:佔格:一簡對一:G2-03664:無繁體:苣:無異體
序176 ::::::G2-03856:無繁體:苤:無異體
序177 :A03450:若:若:佔格:一簡對一:G1-01002:無繁體:若:無異體
序179 :A03448:苦:苦:佔格:一簡對一:G1-00999:無繁體:苦:無異體
