序1 :B03223:箇:个:箇:一對未知
序144 ::::::G3-07544:無繁體:筶:無異體
序145 :A03006:筷:筷:佔格:一簡對一:G1-02955:無繁體:筷:無異體
序147 :A03046:籌:筹:籌:一簡對一:G1-02952:籌:筹:無異體
序149 ::::::G3-07542:無繁體:筻:無異體
序150 :B03246:篔:筼:篔:一對未知:G3-07543:篔:筼:無異體
序152 :A03044:簽:签:簽:一簡對多:G1-02953:簽:签:無異體:G1-02953:签:籤:無異體
序153 :A03052:籤:签:籤:一簡對多:G1-02953:簽:签:無異體:G1-02953:签:籤:無異體
序155 :A03040:簡:简:簡:一簡對一:G1-02954:簡:简:無異體
序157 ::::::G3-07541:篢:𬕂:無異體
序158 :B03222:箅:箄:箅:一對未知
序159 :B03227:箄:箄:無相關對應:一對未知
序160 ::::::G2-05748:無繁體:箅:無異體
序161 :B03211:箈:箈:無相關對應:一對未知
序162 :B03213:箊:箊:無相關對應:一對未知
序163 :B03219:箌:箌:無相關對應:一對未知
序164 :B03218:箍:箍:無相關對應:一對未知:G2-05745:無繁體:箍:無異體
序166 :B03221:箎:箎:無相關對應:一對未知
序167 :B03215:箐:箐:無相關對應:一對未知:G2-05742:無繁體:箐:無異體
序169 :B03214:箑:箑:無相關對應:一對未知
序170 ::::::G2-05753:籙:箓:無異體
序171 :A03015:箔:箔:佔格:一簡對一:G2-05750:無繁體:箔:無異體
序173 :A03010:箕:箕:佔格:一簡對一:G1-03120:無繁體:箕:無異體
序175 :B03217:箖:箖:無相關對應:一對未知:G3-07691:無繁體:箖:無異體
序177 :A03013:算:算:佔格:一簡對一:G1-03121:無繁體:算:無異體
序179 :B03224:箘:箘:無相關對應:一對未知
序180 :B03226:箙:箙:無相關對應:一對未知
序181 :B03220:箛:箛:無相關對應:一對未知
序182 :B03212:箜:箜:無相關對應:一對未知:G2-05751:無繁體:箜:無異體
序184 :A03014:箝:箝:佔格:一簡對一
序185 :A03009:管:管:佔格:一簡對一:G1-03123:無繁體:管:筦
序187 ::::::G2-05752:無繁體:箢:無異體
序188 :B03252:簀:箦:簀:一對未知:G2-05743:簀:箦:無異體
序190 :B03229:篋:箧:篋:一對未知:G2-05744:篋:箧:無異體
序192 :B03289:籜:箨:籜:一對未知:G3-07690:籜:箨:無異體
序194 :A03054:籮:箩:籮:一簡對一:G1-03122:籮:箩:無異體
序196 :A03038:簞:箪:簞:一簡對一:G2-05749:簞:箪:無異體
序198 :A03035:簫:箫:簫:一簡對一:G1-03124:簫:箫:無異體
序200 :A03028:篛:箬:佔格:一簡對一:G2-05747:無繁體:箬:篛
序201 :B03231:箬:箬:無相關對應:一對未知:G2-05747:無繁體:箬:篛
序203 :A03017:箭:箭:佔格:一簡對一:G1-03267:無繁體:箭:無異體
序205 :B03234:箯:箯:無相關對應:一對未知
序206 :A03018:箱:箱:佔格:一簡對一:G1-03265:無繁體:箱:無異體
序208 :A03020:箴:箴:佔格:一簡對一:G2-05955:無繁體:箴:無異體
序210 :B03228:箷:箷:無相關對應:一對未知
序211 :B03216:箸:箸:無相關對應:一對未知:G2-05746:無繁體:箸:筯
序213 :B03236:箹:箹:無相關對應:一對未知
序214 :B03230:箾:箾:無相關對應:一對未知
序215 :A03023:篁:篁:佔格:一簡對一:G2-05957:無繁體:篁:無異體
序217 :A03021:篆:篆:佔格:一簡對一:G2-05959:無繁體:篆:無異體
序219 :A03022:篇:篇:佔格:一簡對一:G1-03268:無繁體:篇:無異體
序221 :B03235:篌:篌:無相關對應:一對未知:G2-05958:無繁體:篌:無異體
序223 :B03232:篎:篎:無相關對應:一對未知
序224 :A03039:簣:篑:簣:一簡對一:G2-05956:簣:篑:無異體
序226 :A03032:簍:篓:簍:一簡對一:G1-03266:簍:篓:無異體
序228 :B03241:篕:篕:無相關對應:一對未知
序229 :A03024:篙:篙:佔格:一簡對一:G2-06128:無繁體:篙:無異體
序231 :B03243:篚:篚:無相關對應:一對未知:G3-07877:無繁體:篚:無異體
序233 :B03240:篝:篝:無相關對應:一對未知:G2-06124:無繁體:篝:無異體
序235 :B03237:篞:篞:無相關對應:一對未知
序236 :A03029:篡:篡:佔格:一簡對一:G1-03358:無繁體:篡:簒
序238 :B03238:篣:篣:無相關對應:一對未知
序239 :B03242:篥:篥:無相關對應:一對未知:G2-06125:無繁體:篥:無異體
序241 :B03247:篦:篦:無相關對應:一對未知:G2-06126:無繁體:篦:無異體
序243 :B03239:篧:篧:無相關對應:一對未知
序244 :B03244:篨:篨:無相關對應:一對未知
序245 :B03248:篪:篪:無相關對應:一對未知:G2-06127:無繁體:篪:無異體
序247 :A03047:籃:篮:籃:一簡對一:G1-03357:籃:篮:無異體
序249 ::::::G3-07878:籛:篯:無異體
序250 ::::::G3-07951:無繁體:簕:無異體
序251 :A03053:籬:篱:籬:一簡對一:G1-03360:篱:篱:無異體:G1-03360:篱:籬:無異體
序253 :B03257:篴:篴:無相關對應:一對未知
序254 :A03034:篷:篷:佔格:一簡對一:G1-03359:無繁體:篷:無異體
序256 :B03265:篸:篸:無相關對應:一對未知
序257 :B03245:篹:篹:無相關對應:一對未知
序258 :B03254:篻:篻:無相關對應:一對未知
序259 ::::::G2-06257:無繁體:篼:無異體
序260 :B03266:篽:篽:無相關對應:一對未知
序261 :A03033:篾:篾:佔格:一簡對一:G2-06256:無繁體:篾:無異體
序263 :B03253:篿:篿:無相關對應:一對未知
序264 :B03264:簁:簁:無相關對應:一對未知
序265 :B03260:簂:簂:無相關對應:一對未知
