序124 :B03457:繄:繄:無相關對應:一對未知:G3-07929:無繁體:繄:無異體
序126 :B03450:繇:繇:無相關對應:一對未知:G2-06268:無繁體:繇:無異體
序128 :B03448:繉:繉:無相關對應:一對未知
序129 :B03452:繌:繌:無相關對應:一對未知
序130 :B03467:繑:繑:無相關對應:一對未知
序131 :B03461:繖:繖:無相關對應:一對未知
序132 :B03463:繘:繘:無相關對應:一對未知
序133 :B03459:繜:繜:無相關對應:一對未知
序134 :B03465:繟:繟:無相關對應:一對未知
序135 :B03468:繠:繠:無相關對應:一對未知
序136 :B03462:繣:繣:無相關對應:一對未知
序137 :B03477:繲:繲:無相關對應:一對未知
序138 :B03478:繴:繴:無相關對應:一對未知
序139 :B03470:繵:繵:無相關對應:一對未知
序140 :B03469:繶:繶:無相關對應:一對未知
序141 :B03473:繷:繷:無相關對應:一對未知
序142 :B03475:繺:繺:無相關對應:一對未知
序143 :B03479:繻:繻:無相關對應:一對未知
序144 :B03482:纀:纀:無相關對應:一對未知
序145 :B03481:纁:纁:無相關對應:一對未知
序146 :A03189:纂:纂:佔格:一簡對一:G2-06438:無繁體:纂:𥲻
序148 :B03487:纆:纆:無相關對應:一對未知
序149 :B03484:纇:纇:無相關對應:一對未知
序150 :B03486:纋:纋:無相關對應:一對未知
序151 :B03489:纑:纑:無相關對應:一對未知
序152 :B03490:纕:纕:無相關對應:一對未知
序153 :B03492:纗:纗:無相關對應:一對未知
序154 :B03493:纚:纚:無相關對應:一對未知
序155 :B03495:纛:纛:無相關對應:一對未知:G2-06493:無繁體:纛:無異體
序157 :A03081:糾:纠:糾:一簡對一:G1-00344:糾:纠:糺
序159 :B03329:紆:纡:紆:一對未知:G2-03644:紆:纡:無異體
序161 :A03083:紅:红:紅:一簡對一:G1-00589:紅:红:無異體
序163 :A03082:紂:纣:紂:一簡對一:G2-03645:紂:纣:無異體
序165 :B03440:縴:纤:縴:一對未知:G1-00591:纖:纤:無異體:G1-00591:纤:縴:無異體
序166 :A03193:纖:纤:纖:一簡對一:G1-00591:纖:纤:無異體:G1-00591:纤:縴:無異體
序167 :B03440:縴:纤:縴:一對未知:G1-00591:纖:纤:無異體:G1-00591:纤:縴:無異體
序168 :A03193:纖:纤:纖:一簡對一:G1-00591:纖:纤:無異體:G1-00591:纤:縴:無異體
序170 :A03086:紇:纥:紇:一簡對一:G2-03646:紇:纥:無異體
序172 :A03087:約:约:約:一簡對一:G1-00593:約:约:無異體
序174 :A03097:級:级:級:一簡對一:G1-00594:級:级:無異體
序176 :B03331:紈:纨:紈:一對未知:G2-03647:紈:纨:無異體
序178 :B03483:纊:纩:纊:一對未知:G3-06554:纊:纩:無異體
序180 :A03084:紀:纪:紀:一簡對一:G1-00595:紀:纪:無異體
序182 :A03085:紉:纫:紉:一簡對一:G1-00597:紉:纫:無異體
序184 :A03143:綸:纶:綸:一簡對一:G2-03824:綸:纶:無異體
序186 ::::::G3-06553:紃:𬘓:無異體
序187 :A03149:緯:纬:緯:一簡對一:G1-00929:緯:纬:無異體
序189 :A03098:紜:纭:紜:一簡對一:G2-03821:紜:纭:無異體
序191 :B03336:紘:纮:紘:一對未知:G3-06638:紘:纮:無異體
序193 :A03094:純:纯:純:一簡對一:G1-00931:純:纯:無異體
序195 :A03096:紕:纰:紕:一簡對一:G2-03822:紕:纰:無異體
序197 :A03089:紗:纱:紗:一簡對一:G1-00932:紗:纱:無異體
序199 :A03138:綱:纲:綱:一簡對一:G1-00933:綱:纲:無異體
序201 :A03099:納:纳:納:一簡對一:G1-00934:納:纳:無異體
序203 :B03333:紝:纴:紝:一對未知:G2-03823:紝:纴:無異體
序205 :A03173:縱:纵:縱:一簡對一:G1-00936:縱:纵:無異體
序207 :A03101:紛:纷:紛:一簡對一:G1-00937:紛:纷:無異體
序209 :A03100:紙:纸:紙:一簡對一:G1-00938:紙:纸:帋
序211 :A03090:紋:纹:紋:一簡對一:G1-00939:紋:纹:無異體
序213 :A03088:紡:纺:紡:一簡對一:G1-00940:紡:纺:無異體
序215 :B03341:紵:纻:紵:一對未知:G3-06641:紵:纻:無異體
序217 :B03337:紖:纼:紖:一對未知:G3-06644:紖:纼:無異體
序219 :A03095:紐:纽:紐:一簡對一:G1-00942:紐:纽:無異體
序221 :B03338:紓:纾:紓:一對未知:G2-03825:紓:纾:無異體
序223 ::::::G3-06642:紞:𬘘:無異體
序224 ::::::G1-01336:綫:线:線
序225 :B03346:紺:绀:紺:一對未知:G2-04074:紺:绀:無異體
序227 :B03345:紲:绁:紲:一對未知:G2-04075:紲:绁:絏
序229 :B03347:紱:绂:紱:一對未知:G2-04076:紱:绂:無異體
序231 :A03148:練:练:練:一簡對一:G1-01337:練:练:無異體
序233 :A03111:組:组:組:一簡對一:G1-01338:組:组:無異體
序235 :A03110:紳:绅:紳:一簡對一:G1-01339:紳:绅:無異體
序237 :A03109:細:细:細:一簡對一:G1-01340:細:细:無異體
序239 :A03176:織:织:織:一簡對一:G1-01342:織:织:無異體
序241 :A03113:終:终:終:一簡對一:G1-01344:終:终:無異體
序243 :B03434:縐:绉:縐:一對未知:G2-04079:縐:绉:無異體
序245 :A03102:絆:绊:絆:一簡對一:G1-01346:絆:绊:無異體
序247 :A03107:紼:绋:紼:一簡對一:G3-06753:紼:绋:無異體
序249 :A03108:絀:绌:絀:一簡對一:G2-04080:絀:绌:無異體
序251 :A03106:紹:绍:紹:一簡對一:G1-01348:紹:绍:無異體
序253 :A03183:繹:绎:繹:一簡對一:G1-01349:繹:绎:無異體
序255 :A03124:經:经:經:一簡對一:G1-01350:經:经:無異體
序257 :B03354:紿:绐:紿:一對未知:G3-06754:紿:绐:無異體
序259 :B03348:絅:䌹:絅:一對未知:G3-06750:絅:䌹:無異體
序261 :A03127:綁:绑:綁:一簡對一:G1-01752:綁:绑:無異體
序263 :A03116:絨:绒:絨:一簡對一:G1-01753:絨:绒:毧羢
序265 :A03115:結:结:結:一簡對一:G1-01754:結:结:無異體
序267 ::::::G2-04393:絝:绔:無異體
序268 :A03178:繞:绕:繞:一簡對一:G1-01755:繞:绕:遶
序270 :B03359:絰:绖:絰:一對未知:G3-06917:絰:绖:無異體
序272 ::::::G2-04396:絎:绗:無異體
序273 :A03185:繪:绘:繪:一簡對一:G1-01757:繪:绘:無異體
序275 :A03122:給:给:給:一簡對一:G1-01758:給:给:無異體
序277 :A03123:絢:绚:絢:一簡對一:G1-01759:絢:绚:無異體
序279 :B03364:絳:绛:絳:一對未知:G2-04397:絳:绛:無異體
序281 :A03121:絡:络:絡:一簡對一:G1-01761:絡:络:無異體
序283 :A03117:絕:绝:絶:一簡對一:G1-01762:絶:绝:無異體
序285 :A03114:絞:绞:絞:一簡對一:G1-01763:絞:绞:無異體
序287 :A03104:統:统:統:一簡對一:G1-01765:統:统:無異體
序289 ::::::G3-06919:絪:𬘡:無異體
序290 :B03369:綆:绠:綆:一對未知:G2-04699:綆:绠:無異體
序292 :B03377:綃:绡:綃:一對未知:G2-04701:綃:绡:無異體
序294 :A03125:絹:绢:絹:一簡對一:G1-02150:絹:绢:無異體
序296 :A03180:繡:绣:綉:一簡對一:G1-02151:綉:绣:繡
序298 :B03379:綌:绤:綌:一對未知:G3-07095:綌:绤:無異體
序300 :A03128:綏:绥:綏:一簡對一:G2-04703:綏:绥:無異體
序302 :B03380:絛:绦:絛:一對未知:G2-04704:縧:绦:絛縚
序303 :B03432:縚:绦:縚:一對未知:G2-04704:縧:绦:絛縚
序304 :B03380:絛:绦:絛:一對未知:G2-04704:縧:绦:絛縚
序305 :B03432:縚:绦:縚:一對未知:G2-04704:縧:绦:絛縚
序307 :A03188:繼:继:繼:一簡對一:G1-02153:繼:继:無異體
序309 :B03368:綈:绨:綈:一對未知:G2-04705:綈:绨:無異體
序311 ::::::G3-06922:綖:𫄧:無異體
序312 ::::::G3-07094:絺:𫄨:無異體
序313 ::::::G3-06921:綎:𬘩:無異體
序314 ::::::G3-07097:綄:𬘫:無異體
序315 :A03166:績:绩:績:一簡對一:G1-02486:績:绩:勣
序316 :B00257:勣:绩:勣:一對未知:G1-02486:績:绩:勣
序317 :A03166:績:绩:績:一簡對一:G1-02486:績:绩:勣
序319 :A03145:緒:绪:緒:一簡對一:G1-02487:緒:绪:無異體
序321 :A03133:綾:绫:綾:一簡對一:G2-05027:綾:绫:無異體
序323 :A03191:續:续:續:一簡對一:G1-02488:續:续:無異體
序325 :A03139:綺:绮:綺:一簡對一:G2-05029:綺:绮:無異體
序327 :B03394:緋:绯:緋:一對未知:G2-05030:緋:绯:無異體
序329 :A03132:綽:绰:綽:一簡對一:G1-02490:綽:绰:無異體
序331 ::::::G2-05031:緔:绱:無異體
序332 :B03392:緄:绲:緄:一對未知:G2-05033:緄:绲:無異體
序334 :A03184:繩:绳:繩:一簡對一:G1-02491:繩:绳:無異體
序336 :A03144:維:维:維:一簡對一:G1-02492:維:维:無異體
序338 :A03141:綿:绵:綿:一簡對一:G1-02493:綿:绵:緜
序340 :B03395:綬:绶:綬:一對未知:G2-05035:綬:绶:無異體
序342 :A03170:繃:绷:佔格:一簡對一:G1-02494:綳:绷:繃
序344 :A03140:綢:绸:綢:一簡對一:G1-02495:綢:绸:紬
序346 :B03397:綯:绹:綯:一對未知:G3-07277:綯:绹:無異體
序348 :B03398:綹:绺:綹:一對未知:G2-05036:綹:绺:無異體
序350 :B03385:綣:绻:綣:一對未知:G2-05037:綣:绻:無異體
序352 :A03131:綜:综:綜:一簡對一:G1-02496:綜:综:無異體
序354 :A03129:綻:绽:綻:一簡對一:G1-02497:綻:绽:無異體
序356 :A03130:綰:绾:綰:一簡對一:G2-05038:綰:绾:無異體
序358 :A03134:綠:绿:緑:一簡對一:G1-02498:緑:绿:菉
序360 :A03136:綴:缀:綴:一簡對一:G1-02499:綴:缀:無異體
