序1 :B02017:汍:丸:汍:一對未知
序144 :B02356:灃:沣:灃:一對未知:G2-03766:灃:沣:無異體
序146 :B02238:漚:沤:漚:一對未知:G2-03769:漚:沤:無異體
序148 :A02374:瀝:沥:瀝:一簡對一:G1-00859:瀝:沥:無異體
序150 :A02242:淪:沦:淪:一簡對一:G1-00863:淪:沦:無異體
序152 :A02294:滄:沧:滄:一簡對一:G1-00866:滄:沧:無異體
序154 ::::::G2-03777:渢:沨:無異體
序155 :B02160:溈:沩:溈:一對未知:G2-03781:潙:沩:無異體
序157 :A02321:滬:沪:滬:一簡對一:G1-00869:滬:沪:無異體
序159 ::::::G3-06618:無繁體:㳇:無異體
序160 ::::::G3-06613:湋:𣲗:無異體
序161 ::::::G3-06612:潕:𣲘:無異體
序162 ::::::G3-06616:浿:𬇙:無異體
序163 :A02167:沫:沫:佔格:一簡對一:G1-01239:無繁體:沫:無異體
序165 :B02050:沬:沬:無相關對應:一對未知
序166 :B02052:沭:沭:無相關對應:一對未知:G2-04010:無繁體:沭:無異體
序168 :A02174:沮:沮:佔格:一簡對一:G1-01247:無繁體:沮:無異體
序170 :A02159:沱:沱:佔格:一簡對一:G2-04021:無繁體:沱:無異體
序172 :A02162:河:河:佔格:一簡對一:G1-01244:無繁體:河:無異體
序174 :B02068:沴:沴:無相關對應:一對未知
序175 :B02049:沶:沶:無相關對應:一對未知
序176 :B02054:沷:沷:無相關對應:一對未知
序177 :A02170:沸:沸:佔格:一簡對一:G1-01259:無繁體:沸:無異體
序179 :A02172:油:油:佔格:一簡對一:G1-01248:無繁體:油:無異體
序181 :B02058:沺:沺:無相關對應:一對未知:G3-06720:無繁體:沺:無異體
序183 :A02179:治:治:佔格:一簡對一:G1-01264:無繁體:治:無異體
序185 :A02165:沼:沼:佔格:一簡對一:G1-01260:無繁體:沼:無異體
序187 :A02163:沽:沽:佔格:一簡對一:G1-01243:無繁體:沽:無異體
序189 :A02164:沾:沾:佔格:一簡對多:G1-01245:無繁體:沾:霑
序190 :A04482:霑:沾:佔格:一簡對多:G1-01245:無繁體:沾:霑
序192 :A02178:沿:沿:佔格:一簡對一:G1-01250:無繁體:沿:無異體
序194 :B02057:泂:泂:無相關對應:一對未知:G3-06721:無繁體:泂:無異體
序196 :B02059:泃:泃:無相關對應:一對未知:G3-06723:無繁體:泃:無異體
序198 :A02171:泄:泄:佔格:一簡對一:G1-01242:無繁體:泄:洩
序199 :B02083:洩:泄:洩:一對未知:G1-01242:無繁體:泄:洩
序201 :A02176:泅:泅:佔格:一簡對一:G2-04014:無繁體:泅:無異體
序203 :B02060:泆:泆:無相關對應:一對未知
序204 ::::::G3-06724:無繁體:泇:無異體
序205 :A02183:泉:泉:佔格:一簡對一:G1-01572:無繁體:泉:無異體
序207 :A02182:泊:泊:佔格:一簡對一:G1-01249:無繁體:泊:無異體
序209 :A02160:泌:泌:佔格:一簡對一:G1-01256:無繁體:泌:無異體
序211 :B02056:泐:泐:無相關對應:一對未知:G2-03782:無繁體:泐:無異體
序213 :B02064:泒:泒:無相關對應:一對未知
序214 :A02169:泓:泓:佔格:一簡對一:G2-04023:無繁體:泓:無異體
序216 :B02051:泔:泔:無相關對應:一對未知:G2-04009:無繁體:泔:無異體
序218 :A02168:法:法:佔格:一簡對一:G1-01241:無繁體:法:㳒灋
序220 :B02065:泖:泖:無相關對應:一對未知:G2-04018:無繁體:泖:無異體
序222 :A02175:泗:泗:佔格:一簡對一:G2-04015:無繁體:泗:無異體
序224 :B02048:泙:泙:無相關對應:一對未知:G3-06719:無繁體:泙:無異體
序226 :A02128:氾:泛:佔格:一簡對多:G1-00865:無繁體:泛:氾汎
序227 :A02181:泛:泛:佔格:一簡對多:G1-00865:無繁體:泛:氾汎
序228 :B02019:汎:泛:汎:一對未知:G1-00865:無繁體:泛:氾汎
序230 :B02062:泜:泜:無相關對應:一對未知:G3-06722:無繁體:泜:無異體
序232 :A02352:濘:泞:濘:一簡對一:G1-01254:濘:泞:無異體
序234 :B02067:泠:泠:無相關對應:一對未知:G2-04016:無繁體:泠:無異體
序236 :A02180:泡:泡:佔格:一簡對一:G1-01251:無繁體:泡:無異體
序238 :A02166:波:波:佔格:一簡對一:G1-01261:無繁體:波:無異體
序240 :A02156:泣:泣:佔格:一簡對一:G1-01253:無繁體:泣:無異體
序242 :A02161:泥:泥:佔格:一簡對一:G1-01258:無繁體:泥:無異體
序244 :B02053:泧:泧:無相關對應:一對未知
序245 :A02157:注:注:佔格:一簡對多:G1-01252:無繁體:注:註
序246 :A03802:註:注:佔格:一簡對多:G1-01252:無繁體:注:註
序248 :A02239:淚:泪:佔格:一簡對一:G1-01246:無繁體:泪:淚
序250 :B02046:泫:泫:無相關對應:一對未知:G2-04019:無繁體:泫:無異體
序252 :B02045:泬:泬:無相關對應:一對未知
序253 :B02061:泭:泭:無相關對應:一對未知
序254 :B02047:泮:泮:無相關對應:一對未知:G2-04020:無繁體:泮:無異體
序256 :B02055:泯:泯:無相關對應:一對未知:G2-04022:無繁體:泯:冺
序258 :A02184:泰:泰:佔格:一簡對一:G1-01771:無繁體:泰:無異體
序260 :A02177:泱:泱:佔格:一簡對一:G2-04013:無繁體:泱:無異體
序262 :B02063:泲:泲:無相關對應:一對未知
序263 :A02158:泳:泳:佔格:一簡對一:G1-01257:無繁體:泳:無異體
序265 :B02309:澩:泶:澩:一對未知
序266 :B02335:瀧:泷:瀧:一對未知:G2-04011:瀧:泷:無異體
