序127 :B05478:钃:钃:無相關對應:一對未知
序128 ::::::G3-06536:釓:钆:無異體
序129 :B05270:釔:钇:釔:一對未知:G2-03597:釔:钇:無異體
序131 :A04263:針:针:針:一簡對一:G1-00757:針:针:鍼
序132 :B05394:鍼:针:鍼:一對未知:G1-00757:針:针:鍼
序134 :A04262:釘:钉:釘:一簡對一:G1-00758:釘:钉:無異體
序136 :A04264:釗:钊:釗:一簡對一:G2-03721:釗:钊:無異體
序138 :B05272:釙:钋:釙:一對未知:G2-03722:釙:钋:無異體
序140 :B05271:釕:钌:釕:一對未知:G2-03723:釕:钌:無異體
序142 ::::::G2-03939:釷:钍:無異體
序143 :B05274:釬:钎:釬:一對未知:G2-03940:釺:钎:無異體
序145 :A04269:釧:钏:釧:一簡對一:G2-03941:釧:钏:無異體
序147 :B05281:釤:钐:釤:一對未知:G3-06689:釤:钐:無異體
序149 :B05293:鈒:钑:鈒:一對未知
序150 :B05279:釩:钒:釩:一對未知:G2-03942:釩:钒:無異體
序152 :A04268:釣:钓:釣:一簡對一:G1-01120:釣:钓:無異體
序154 :B05382:鍆:钔:鍆:一對未知:G3-06690:鍆:钔:無異體
序156 :B05282:釹:钕:釹:一對未知:G2-03943:釹:钕:無異體
序158 :B05399:鍚:钖:鍚:一對未知:G3-06691:鍚:钖:無異體
序160 :A04266:釵:钗:釵:一簡對一:G2-03944:釵:钗:無異體
序162 ::::::G3-06688:釴:𬬩:無異體
序163 :B05287:鈃:钘:鈃:一對未知:G3-06843:鈃:钘:無異體
序165 :A04271:鈣:钙:鈣:一簡對一:G1-01525:鈣:钙:無異體
序167 :A04280:鈽:钚:佔格:一簡對一:G2-04239:鈈:钚:無異體
序169 :B05289:鈦:钛:鈦:一對未知:G2-04240:鈦:钛:無異體
序171 :B05305:鉅:钜:鉅:一對未知:G3-06845:鉅:钜:無異體
序173 :A04275:鈍:钝:鈍:一簡對一:G1-01526:鈍:钝:無異體
序175 :A04270:鈔:钞:鈔:一簡對一:G1-01527:鈔:钞:無異體
序177 :A04326:鍾:钟:鍾:一簡對多:G1-01528:鍾:钟:無異體:G1-01528:钟:鐘:無異體
序178 :A04349:鐘:钟:鐘:一簡對多:G1-01528:鍾:钟:無異體:G1-01528:钟:鐘:無異體
序180 :A04273:鈉:钠:鈉:一簡對一:G1-01530:鈉:钠:無異體
序182 :B05355:鋇:钡:鋇:一對未知:G2-04241:鋇:钡:無異體
序184 :A04312:鋼:钢:鋼:一簡對一:G1-01529:鋼:钢:無異體
序186 :B05295:鈑:钣:鈑:一對未知:G2-04242:鈑:钣:無異體
序188 :A04276:鈐:钤:鈐:一簡對一:G2-04243:鈐:钤:無異體
序190 :A04364:鑰:钥:鑰:一簡對一:G1-01531:鑰:钥:無異體
序192 :A02058:欽:钦:欽:一簡對一:G1-01532:欽:钦:無異體
序194 :A04274:鈞:钧:鈞:一簡對一:G1-01533:鈞:钧:無異體
