序1 :A03751:褻:亵:褻:一簡對一
序145 :B04463:衧:衧:無相關對應:一對未知
序146 :A03710:表:表:佔格:一簡對多:G1-00951:表:表:無異體:G1-00951:表:錶:無異體
序147 :A04307:錶:表:錶:一簡對多:G1-00951:表:表:無異體:G1-00951:表:錶:無異體
序149 :B04465:衩:衩:無相關對應:一對未知:G2-04046:無繁體:衩:無異體
序151 :B04464:衪:衪:無相關對應:一對未知
序152 :A03711:衫:衫:佔格:一簡對一:G1-01293:無繁體:衫:無異體
序154 :A03761:襯:衬:襯:一簡對一:G1-01292:襯:衬:無異體
序156 :B04466:衭:衭:無相關對應:一對未知
序157 :A03716:袞:衮:佔格:一簡對一:G2-04622:無繁體:衮:無異體
序159 :B04475:衯:衯:無相關對應:一對未知
序160 :A03712:衰:衰:佔格:一簡對一:G1-02019:無繁體:衰:無異體
序162 :B04472:衱:衱:無相關對應:一對未知
序163 :B04470:衲:衲:無相關對應:一對未知:G2-04360:無繁體:衲:無異體
序165 :B04468:衵:衵:無相關對應:一對未知
序166 :B04469:衶:衶:無相關對應:一對未知
序167 :A03713:衷:衷:佔格:一簡對一:G1-02020:無繁體:衷:無異體
序169 :B04467:衽:衽:無相關對應:一對未知:G2-04361:無繁體:衽:袵
序171 :B04477:衾:衾:無相關對應:一對未知:G2-04588:無繁體:衾:無異體
序173 :B04474:衿:衿:無相關對應:一對未知:G2-04362:無繁體:衿:無異體
序175 :B04471:袀:袀:無相關對應:一對未知
序176 :A03714:袁:袁:佔格:一簡對一:G1-01799:無繁體:袁:無異體
序178 :A03715:袂:袂:佔格:一簡對一:G2-04363:無繁體:袂:無異體
序180 :B04476:袃:袃:無相關對應:一對未知
序181 :A03757:襖:袄:襖:一簡對一:G1-01709:襖:袄:無異體
序183 :A03733:裊:袅:裊:一簡對多:G2-04608:裊:袅:嫋褭嬝
序184 :A00975:嬝:袅:佔格:一簡對多:G2-04608:裊:袅:嫋褭嬝
序185 :A03733:裊:袅:裊:一簡對多:G2-04608:裊:袅:嫋褭嬝
序186 :B00683:嫋:袅:嫋:一對未知:G2-04608:裊:袅:嫋褭嬝
序188 :B04531:褘:袆:褘:一對未知:G3-06903:褘:袆:無異體
序190 :A03717:袈:袈:佔格:一簡對一:G2-05023:無繁體:袈:無異體
序192 :B04478:袉:袉:無相關對應:一對未知
序193 :A03722:袋:袋:佔格:一簡對一:G1-02325:無繁體:袋:無異體
序195 :B04494:袌:袌:無相關對應:一對未知
序196 :A03721:袍:袍:佔格:一簡對一:G1-02117:無繁體:袍:無異體
序198 :B04484:袑:袑:無相關對應:一對未知
序199 :A03719:袒:袒:佔格:一簡對一:G2-04671:無繁體:袒:襢
序201 :B04479:袕:袕:無相關對應:一對未知
序202 :A03720:袖:袖:佔格:一簡對一:G1-02116:無繁體:袖:無異體
序203 :B04538:褎:袖:褎:一對未知:G1-02116:無繁體:袖:無異體
序205 :B04491:袗:袗:無相關對應:一對未知:G3-07078:無繁體:袗:無異體
序207 :B04487:袘:袘:無相關對應:一對未知
序208 :B04489:袙:袙:無相關對應:一對未知
序209 :B04483:袚:袚:無相關對應:一對未知
序210 :B04490:袛:袛:無相關對應:一對未知
序211 :A03759:襪:袜:襪:一簡對一:G1-02115:襪:袜:韈韤
序213 :B04486:袟:袟:無相關對應:一對未知
序214 :B04485:袡:袡:無相關對應:一對未知
序215 :B04481:袢:袢:無相關對應:一對未知:G2-04672:無繁體:袢:無異體
序217 :B04492:袤:袤:無相關對應:一對未知:G2-04944:無繁體:袤:無異體
序219 :B04488:袧:袧:無相關對應:一對未知
序220 :B04480:袨:袨:無相關對應:一對未知
序221 ::::::G3-07077:無繁體:袪:無異體
序222 :A03718:被:被:佔格:一簡對一:G1-02118:無繁體:被:無異體
序224 :B04493:袬:袬:無相關對應:一對未知
序225 :A03760:襲:袭:襲:一簡對一:G1-02246:襲:袭:無異體
序227 :B04560:襏:袯:襏:一對未知:G3-07079:襏:袯:無異體
序229 :A03725:袱:袱:佔格:一簡對一:G1-02463:無繁體:袱:無異體
序231 :B04505:袲:袲:無相關對應:一對未知
序232 :B04501:袶:袶:無相關對應:一對未知
序233 :B04503:袷:袷:無相關對應:一對未知:G2-05000:無繁體:袷:無異體
序235 :B04498:袸:袸:無相關對應:一對未知
序236 :B04497:袹:袹:無相關對應:一對未知
序237 :B04495:袺:袺:無相關對應:一對未知
序238 :B04502:袼:袼:無相關對應:一對未知:G3-07251:無繁體:袼:無異體
序240 :B04504:袽:袽:無相關對應:一對未知
序241 :B04500:袾:袾:無相關對應:一對未知
序242 :B04499:裀:裀:無相關對應:一對未知
序243 :A03723:裁:裁:佔格:一簡對一:G1-02532:無繁體:裁:無異體
序245 :A03724:裂:裂:佔格:一簡對一:G1-02595:無繁體:裂:無異體
